Shipment_ID,Origin,Destination,Transport_Mode,Cargo_Type,Weight_KG,Volume_CBM,Distance_KM,Container_Type,Fuel_Price,Season,Carrier,Transit_Days,Actual_Freight_Price_INR
SHP00018,Chennai,New York,Sea,Pharmaceuticals,1875.0,8.44,5451,LCL,93.27,Normal,Carrier_A,10,55572
SHP00019,Chennai,Jebel Ali,Sea,Furniture,1602.0,6.24,10203,AIR_CARGO,113.45,Off_Peak,Carrier_B,16,101043
SHP00020,Pune,New York,Sea,Textiles,1368.0,1.61,4244,40FT_HC,100.34,Normal,Carrier_C,9,63347
SHP00021,Bengaluru,London,Sea,Automotive Parts,2510.0,0.5,10519,LCL,100.76,Normal,Carrier_A,23,94027
SHP00022,Pune,London,Sea,Food Products,4453.0,11.44,4676,20FT,101.86,Normal,Carrier_A,13,70988
SHP00023,Kolkata,Shanghai,Sea,Pharmaceuticals,3817.0,15.4,4679,40FT,76.59,Normal,Carrier_C,11,41699
SHP00024,Kolkata,Shanghai,Sea,Food Products,927.0,5.5,4054,LCL,92.83,Normal,Carrier_B,12,46521
SHP00025,Ahmedabad,Jebel Ali,Sea,Food Products,4372.0,13.43,6790,LCL,78.1,Normal,Carrier_E,15,55319
SHP00026,Pune,Los Angeles,Air,Electronics,3799.0,9.72,1984,LCL,87.63,Normal,Carrier_C,6,110454
SHP00027,Ahmedabad,Jebel Ali,Sea,Pharmaceuticals,4451.0,14.18,921,40FT_HC,107.86,Normal,Carrier_B,2,60819
SHP00028,Mumbai,Jebel Ali,Sea,Textiles,5056.0,13.25,10820,40FT,101.25,Peak,Carrier_E,17,123405
SHP00029,Ahmedabad,Los Angeles,Sea,Food Products,1558.0,0.5,11183,40FT_HC,114.82,Normal,Carrier_D,25,129552
SHP00030,Mumbai,Hamburg,Sea,Chemicals,2057.0,8.46,1376,LCL,81.89,Normal,Carrier_C,4,31099
SHP00031,Hyderabad,Colombo,Sea,Electronics,8005.0,15.61,6822,LCL,90.88,Normal,Carrier_C,17,71096
SHP00032,Ahmedabad,Los Angeles,Sea,Automotive Parts,7702.0,18.61,6706,40FT,107.39,Peak,Carrier_B,12,105306
SHP00033,Bengaluru,New York,Sea,Food Products,2379.0,8.62,4783,20FT,83.63,Normal,Carrier_A,16,44472
SHP00034,Mumbai,Colombo,Road,Furniture,3700.0,5.81,7042,40FT_HC,81.15,Off_Peak,Carrier_A,14,71088
SHP00035,Bengaluru,Rotterdam,Road,Food Products,3916.0,5.38,5768,20FT,92.1,Peak,Carrier_B,11,94757
SHP00036,Chennai,Hamburg,Air,Electronics,7836.0,20.57,6131,LCL,90.35,Off_Peak,Carrier_C,13,230126
SHP00037,Mumbai,Rotterdam,Sea,Textiles,3129.0,3.0,9186,LCL,114.21,Normal,Carrier_C,19,98791
SHP00038,Chennai,Shanghai,Sea,Chemicals,1137.0,1.94,6549,AIR_CARGO,93.25,Off_Peak,Carrier_C,14,50303
SHP00039,Delhi,Singapore,Air,Furniture,1835.0,8.88,4222,AIR_CARGO,109.44,Normal,Carrier_D,9,199789
SHP00040,Bengaluru,London,Sea,Automotive Parts,19165.0,52.14,7187,20FT,110.52,Off_Peak,Carrier_A,11,112151
SHP00041,Delhi,Rotterdam,Sea,Furniture,1103.0,0.5,7869,AIR_CARGO,81.31,Normal,Carrier_D,15,53011
SHP00042,Mumbai,Dubai,Sea,Food Products,2583.0,5.28,8117,40FT,103.61,Peak,Carrier_C,19,91262
SHP00043,Chennai,Jebel Ali,Sea,Textiles,11247.0,31.86,7611,20FT,86.1,Peak,Carrier_A,14,82814
SHP00044,Mumbai,New York,Road,Pharmaceuticals,1487.0,1.95,8143,AIR_CARGO,78.79,Normal,Carrier_C,13,73089
SHP00045,Delhi,Rotterdam,Sea,Chemicals,425.0,4.18,4066,AIR_CARGO,109.99,Peak,Carrier_C,7,65855
SHP00046,Pune,Rotterdam,Air,Pharmaceuticals,479.0,4.61,5631,40FT,86.7,Normal,Carrier_B,12,146740
SHP00047,Pune,Singapore,Sea,Chemicals,1492.0,1.11,8190,40FT,88.81,Off_Peak,Carrier_A,15,60695
SHP00048,Mumbai,Shanghai,Sea,Automotive Parts,795.0,3.61,9175,20FT,87.96,Normal,Carrier_C,18,64567
SHP00049,Hyderabad,Jebel Ali,Sea,Machinery,4906.0,13.64,5493,40FT_HC,83.01,Normal,Carrier_E,10,53740
SHP00050,Kolkata,Jebel Ali,Sea,Chemicals,2976.0,10.73,4701,40FT,92.38,Normal,Carrier_E,13,61529
SHP00051,Delhi,Singapore,Road,Machinery,625.0,0.5,8733,AIR_CARGO,92.13,Normal,Carrier_C,19,88876
SHP00052,Mumbai,Los Angeles,Air,Pharmaceuticals,886.0,7.28,3055,20FT,91.35,Peak,Carrier_B,12,126371
SHP00053,Chennai,Singapore,Road,Chemicals,5598.0,16.08,609,40FT_HC,111.65,Normal,Carrier_C,2,63998
SHP00054,Mumbai,Dubai,Road,Automotive Parts,2834.0,2.23,5918,20FT,88.59,Off_Peak,Carrier_E,12,64560
SHP00055,Pune,Colombo,Sea,Electronics,6348.0,14.6,2494,AIR_CARGO,76.22,Normal,Carrier_A,9,32117
SHP00056,Chennai,Dubai,Road,Automotive Parts,5174.0,15.67,4850,40FT_HC,82.14,Normal,Carrier_B,12,63248
SHP00057,Kolkata,Singapore,Sea,Automotive Parts,1183.0,0.5,3849,40FT_HC,103.86,Normal,Carrier_C,7,60142
SHP00058,Mumbai,London,Sea,Electronics,4435.0,6.86,9439,40FT,98.63,Normal,Carrier_E,20,95810
SHP00059,Ahmedabad,Los Angeles,Sea,Electronics,3604.0,8.66,4311,LCL,113.07,Normal,Carrier_A,11,67369
SHP00060,Pune,London,Sea,Textiles,698.0,0.5,7868,AIR_CARGO,102.78,Normal,Carrier_E,13,73789
SHP00061,Ahmedabad,Dubai,Sea,Chemicals,1031.0,3.46,8250,LCL,82.77,Peak,Carrier_B,16,65328
SHP00062,Kolkata,Jebel Ali,Sea,Pharmaceuticals,12192.0,32.32,5749,AIR_CARGO,79.83,Normal,Carrier_D,13,69880
SHP00063,Delhi,Dubai,Air,Textiles,1368.0,4.35,1432,20FT,95.83,Peak,Carrier_C,7,94058
SHP00064,Chennai,Hamburg,Sea,Electronics,3267.0,7.74,8554,LCL,101.61,Normal,Carrier_A,19,86496
SHP00065,Ahmedabad,Shanghai,Sea,Machinery,2209.0,8.57,1364,40FT_HC,81.63,Normal,Carrier_B,3,27785
SHP00066,Hyderabad,New York,Sea,Pharmaceuticals,2817.0,6.29,1641,40FT,99.07,Normal,Carrier_B,4,43007
SHP00067,Delhi,Hamburg,Sea,Machinery,2306.0,2.51,2754,AIR_CARGO,109.6,Normal,Carrier_D,9,61954
SHP00068,Chennai,Singapore,Air,Automotive Parts,4682.0,15.77,3724,40FT,104.1,Normal,Carrier_D,4,232992
SHP00069,Pune,Rotterdam,Sea,Food Products,4603.0,1.28,10234,AIR_CARGO,101.57,Normal,Carrier_C,19,100063
SHP00070,Pune,London,Road,Automotive Parts,2699.0,6.68,8262,40FT_HC,106.57,Off_Peak,Carrier_C,20,114858
SHP00071,Pune,Colombo,Air,Automotive Parts,1389.0,1.85,4953,40FT_HC,79.16,Peak,Carrier_B,12,150274
SHP00072,Kolkata,Hamburg,Sea,Food Products,1727.0,0.5,11754,40FT_HC,83.15,Normal,Carrier_C,22,76201
SHP00073,Ahmedabad,Los Angeles,Sea,Chemicals,898.0,3.33,3301,40FT_HC,76.52,Normal,Carrier_C,6,31434
SHP00074,Pune,London,Air,Electronics,2012.0,6.63,7513,40FT_HC,80.8,Off_Peak,Carrier_D,17,173033
SHP00075,Bengaluru,Hamburg,Air,Machinery,793.0,0.5,10243,40FT,111.53,Normal,Carrier_B,21,346152
SHP00076,Pune,Jebel Ali,Air,Automotive Parts,2882.0,1.28,9723,20FT,83.89,Normal,Carrier_E,19,235376
SHP00077,Mumbai,New York,Air,Food Products,3030.0,1.99,1539,LCL,101.48,Peak,Carrier_E,6,148079
SHP00078,Kolkata,Dubai,Sea,Textiles,4805.0,18.69,8519,40FT,102.66,Normal,Carrier_A,18,97060
SHP00079,Chennai,Dubai,Sea,Automotive Parts,1131.0,10.39,3465,LCL,100.81,Normal,Carrier_D,8,52991
SHP00080,Chennai,Hamburg,Sea,Machinery,1182.0,2.93,4591,20FT,97.16,Normal,Carrier_A,8,52728
SHP00081,Chennai,Singapore,Road,Electronics,6735.0,10.55,6123,AIR_CARGO,94.45,Normal,Carrier_B,11,102965
SHP00082,Chennai,Los Angeles,Sea,Automotive Parts,1027.0,1.86,9594,20FT,91.8,Peak,Carrier_E,21,87786
SHP00083,Mumbai,Singapore,Sea,Automotive Parts,9484.0,13.78,2411,20FT,111.68,Normal,Carrier_E,8,75736
SHP00084,Delhi,London,Sea,Chemicals,1371.0,4.52,1748,AIR_CARGO,75.38,Peak,Carrier_E,6,31174
SHP00085,Hyderabad,Shanghai,Sea,Furniture,1378.0,0.5,2265,LCL,77.14,Off_Peak,Carrier_A,5,28003
SHP00086,Bengaluru,New York,Sea,Food Products,4324.0,5.45,3010,40FT_HC,94.7,Off_Peak,Carrier_C,9,51120
SHP00087,Mumbai,New York,Air,Textiles,3573.0,12.42,1184,AIR_CARGO,88.22,Normal,Carrier_A,3,104240
SHP00088,Chennai,Dubai,Sea,Textiles,7267.0,16.69,11153,AIR_CARGO,91.33,Normal,Carrier_E,25,93538
SHP00089,Mumbai,New York,Road,Pharmaceuticals,731.0,5.2,4169,20FT,114.91,Off_Peak,Carrier_D,8,78388
SHP00090,Kolkata,Singapore,Sea,Electronics,3537.0,13.25,2535,AIR_CARGO,106.01,Peak,Carrier_D,6,63719
SHP00091,Hyderabad,Los Angeles,Sea,Pharmaceuticals,2426.0,5.42,7835,40FT,110.1,Normal,Carrier_A,16,88084
SHP00092,Chennai,Los Angeles,Air,Machinery,1242.0,2.94,9550,40FT_HC,89.74,Off_Peak,Carrier_A,21,211092
SHP00093,Bengaluru,Dubai,Air,Electronics,8493.0,24.45,9162,20FT,84.58,Normal,Carrier_B,19,295218
SHP00094,Chennai,Hamburg,Sea,Automotive Parts,2913.0,4.78,8765,LCL,105.72,Peak,Carrier_A,18,105042
SHP00095,Hyderabad,Los Angeles,Air,Furniture,2400.0,10.33,1081,LCL,107.3,Normal,Carrier_A,3,111991
SHP00096,Bengaluru,Singapore,Sea,Automotive Parts,3358.0,0.5,9495,LCL,97.0,Off_Peak,Carrier_E,20,81734
SHP00097,Hyderabad,Rotterdam,Sea,Textiles,813.0,0.52,6272,LCL,110.84,Peak,Carrier_C,13,86372
SHP00098,Bengaluru,Hamburg,Sea,Machinery,1110.0,3.39,7964,LCL,113.69,Normal,Carrier_E,15,87401
SHP00099,Delhi,Shanghai,Sea,Food Products,2014.0,0.5,11499,20FT,93.84,Normal,Carrier_C,23,90258
SHP00100,Ahmedabad,Colombo,Sea,Machinery,3071.0,8.79,9823,40FT,83.91,Normal,Carrier_E,20,69113
SHP00101,Delhi,Jebel Ali,Sea,Automotive Parts,5725.0,14.32,9992,40FT,95.68,Normal,Carrier_E,25,97622
SHP00102,Mumbai,New York,Sea,Food Products,1406.0,0.5,2587,LCL,114.58,Normal,Carrier_B,5,52231
SHP00103,Mumbai,New York,Sea,Machinery,1212.0,0.5,5979,40FT,86.72,Normal,Carrier_C,11,54820
SHP00104,Pune,Rotterdam,Sea,Furniture,3463.0,4.76,11417,40FT_HC,99.7,Normal,Carrier_E,23,108590
SHP00105,Bengaluru,Hamburg,Road,Furniture,2289.0,0.5,7201,40FT,102.76,Normal,Carrier_E,13,106003
SHP00106,Pune,Dubai,Sea,Machinery,717.0,8.15,1680,AIR_CARGO,83.56,Normal,Carrier_C,3,31063
SHP00107,Pune,Singapore,Sea,Food Products,1376.0,2.43,8916,LCL,98.54,Peak,Carrier_B,15,93122
SHP00108,Chennai,Rotterdam,Air,Automotive Parts,2221.0,0.5,994,AIR_CARGO,87.58,Peak,Carrier_C,2,90429
SHP00109,Ahmedabad,Jebel Ali,Sea,Machinery,2262.0,4.9,9036,AIR_CARGO,109.17,Normal,Carrier_B,17,107576
SHP00110,Kolkata,Los Angeles,Sea,Food Products,2650.0,7.27,10617,LCL,103.59,Normal,Carrier_B,19,97550
SHP00111,Kolkata,Dubai,Sea,Chemicals,1074.0,0.5,5390,20FT,108.05,Normal,Carrier_D,11,77561
SHP00112,Chennai,Colombo,Sea,Furniture,2296.0,4.01,5257,40FT,82.99,Normal,Carrier_B,7,53699
SHP00113,Chennai,Dubai,Road,Chemicals,4627.0,16.23,3998,40FT_HC,76.38,Normal,Carrier_D,10,51033
SHP00114,Delhi,Rotterdam,Air,Automotive Parts,383.0,0.5,10585,20FT,109.02,Normal,Carrier_A,20,319481
SHP00115,Kolkata,Shanghai,Sea,Food Products,2081.0,2.63,6800,40FT_HC,90.47,Normal,Carrier_B,14,71165
SHP00116,Bengaluru,Rotterdam,Road,Chemicals,849.0,0.5,7161,LCL,82.19,Normal,Carrier_C,16,65958
SHP00117,Hyderabad,Rotterdam,Air,Food Products,2448.0,13.12,8110,40FT,78.68,Normal,Carrier_D,17,193205
SHP00118,Pune,Rotterdam,Sea,Machinery,940.0,4.87,3953,20FT,95.66,Normal,Carrier_A,8,49923
SHP00119,Mumbai,Dubai,Road,Automotive Parts,2728.0,6.3,5477,LCL,81.01,Peak,Carrier_A,13,72314
SHP00120,Pune,Rotterdam,Sea,Chemicals,7197.0,14.26,9028,20FT,97.67,Normal,Carrier_B,22,92836
SHP00121,Pune,Hamburg,Air,Pharmaceuticals,1323.0,0.5,11833,AIR_CARGO,104.09,Normal,Carrier_C,21,336379
SHP00122,Hyderabad,Dubai,Road,Machinery,1453.0,2.38,895,40FT,96.4,Normal,Carrier_B,5,34330
SHP00123,Delhi,Los Angeles,Sea,Furniture,1842.0,6.37,990,40FT,111.15,Normal,Carrier_E,2,41421
SHP00124,Kolkata,Hamburg,Sea,Pharmaceuticals,3075.0,3.07,5423,LCL,81.22,Normal,Carrier_A,14,48658
SHP00125,Pune,Jebel Ali,Sea,Pharmaceuticals,1289.0,1.22,8086,LCL,94.76,Normal,Carrier_E,15,73501
SHP00126,Ahmedabad,Los Angeles,Sea,Electronics,1953.0,8.08,4943,LCL,81.53,Off_Peak,Carrier_E,9,37985
SHP00127,Chennai,Colombo,Air,Electronics,1618.0,10.29,11996,40FT,110.04,Normal,Carrier_D,26,404692
SHP00128,Ahmedabad,New York,Road,Automotive Parts,1846.0,6.57,2747,AIR_CARGO,112.29,Normal,Carrier_E,8,61912
SHP00129,Ahmedabad,Dubai,Sea,Chemicals,3099.0,4.73,591,40FT,91.0,Peak,Carrier_A,2,41739
SHP00130,Kolkata,New York,Sea,Chemicals,3577.0,7.9,2686,LCL,87.23,Normal,Carrier_A,7,39339
SHP00131,Bengaluru,Dubai,Sea,Chemicals,957.0,3.93,10699,40FT_HC,86.17,Off_Peak,Carrier_C,20,71694
SHP00132,Delhi,Los Angeles,Sea,Food Products,3091.0,6.19,2169,AIR_CARGO,109.39,Normal,Carrier_B,3,55831
SHP00133,Pune,Colombo,Sea,Machinery,19318.0,48.84,6008,40FT,102.3,Normal,Carrier_C,13,101566
SHP00134,Pune,Singapore,Sea,Chemicals,6821.0,13.32,5322,40FT_HC,110.22,Normal,Carrier_C,11,86230
SHP00135,Pune,Singapore,Road,Machinery,1647.0,10.37,8156,AIR_CARGO,79.7,Peak,Carrier_B,15,91559
SHP00136,Chennai,Hamburg,Sea,Automotive Parts,2724.0,6.14,1128,40FT,94.04,Normal,Carrier_A,7,45120
SHP00137,Hyderabad,Rotterdam,Sea,Pharmaceuticals,2446.0,3.3,8076,LCL,102.05,Normal,Carrier_D,15,83161
SHP00138,Bengaluru,Rotterdam,Air,Chemicals,3370.0,10.39,4580,40FT,110.88,Normal,Carrier_E,11,236510
SHP00139,Hyderabad,Singapore,Sea,Automotive Parts,1900.0,0.61,11149,AIR_CARGO,90.28,Normal,Carrier_D,24,92054
SHP00140,Mumbai,Los Angeles,Road,Chemicals,2099.0,5.59,10262,LCL,87.52,Normal,Carrier_E,20,101029
SHP00141,Delhi,Colombo,Road,Electronics,1555.0,9.31,5094,20FT,111.52,Normal,Carrier_B,10,92911
SHP00142,Bengaluru,Hamburg,Sea,Textiles,5095.0,7.26,11918,40FT_HC,76.9,Normal,Carrier_B,24,76110
SHP00143,Bengaluru,Los Angeles,Sea,Automotive Parts,3060.0,12.05,1097,LCL,94.18,Normal,Carrier_C,5,34141
SHP00144,Pune,Rotterdam,Sea,Chemicals,3075.0,2.16,9569,LCL,93.35,Normal,Carrier_B,21,81150
SHP00145,Hyderabad,Hamburg,Sea,Furniture,5519.0,16.42,5489,AIR_CARGO,80.84,Peak,Carrier_E,16,61828
SHP00146,Chennai,New York,Sea,Textiles,5573.0,9.48,5483,AIR_CARGO,90.8,Normal,Carrier_D,11,72998
SHP00147,Mumbai,London,Sea,Automotive Parts,4929.0,16.5,2457,40FT_HC,103.9,Normal,Carrier_D,7,63187
SHP00148,Pune,Jebel Ali,Sea,Furniture,5465.0,10.71,6421,AIR_CARGO,89.67,Peak,Carrier_D,11,77403
SHP00149,Pune,Hamburg,Sea,Furniture,6903.0,15.01,1474,LCL,87.39,Peak,Carrier_D,6,53830
SHP00150,Pune,Rotterdam,Sea,Food Products,1334.0,0.5,7591,40FT_HC,106.28,Peak,Carrier_C,16,96080
SHP00151,Hyderabad,Los Angeles,Road,Furniture,2059.0,0.5,3278,40FT_HC,114.55,Normal,Carrier_D,8,87513
SHP00152,Bengaluru,New York,Sea,Chemicals,3963.0,4.87,8836,40FT,106.17,Normal,Carrier_E,17,94326
SHP00153,Delhi,Jebel Ali,Sea,Food Products,1406.0,0.5,7485,LCL,108.85,Normal,Carrier_C,15,77989
SHP00154,Bengaluru,Jebel Ali,Sea,Electronics,1974.0,0.5,9084,LCL,112.58,Normal,Carrier_C,19,95446
SHP00155,Kolkata,Hamburg,Road,Chemicals,2837.0,7.93,9122,AIR_CARGO,107.07,Normal,Carrier_C,17,125313
SHP00156,Delhi,Jebel Ali,Sea,Pharmaceuticals,2153.0,11.23,2762,LCL,114.21,Normal,Carrier_B,6,59191
SHP00157,Pune,New York,Air,Furniture,2610.0,13.4,508,AIR_CARGO,104.89,Normal,Carrier_C,3,98959
SHP00158,Delhi,Colombo,Air,Electronics,1187.0,0.5,4706,LCL,101.46,Peak,Carrier_E,7,188135
SHP00159,Bengaluru,Los Angeles,Sea,Textiles,2439.0,5.37,11069,40FT,102.73,Normal,Carrier_D,20,112278
SHP00160,Chennai,Hamburg,Air,Automotive Parts,2728.0,11.15,7146,LCL,111.0,Normal,Carrier_B,14,293099
SHP00161,Pune,Jebel Ali,Sea,Furniture,7142.0,11.76,8866,40FT,102.32,Normal,Carrier_D,21,107263
SHP00162,Delhi,Colombo,Sea,Machinery,2099.0,9.81,10615,LCL,105.45,Normal,Carrier_A,20,97599
SHP00163,Kolkata,Los Angeles,Sea,Electronics,1638.0,8.78,10920,LCL,83.64,Normal,Carrier_B,22,76939
SHP00164,Hyderabad,Dubai,Sea,Machinery,3974.0,1.68,6584,20FT,111.51,Normal,Carrier_E,12,84045
SHP00165,Chennai,Colombo,Sea,Furniture,317.0,0.5,6721,LCL,92.89,Normal,Carrier_B,13,60767
SHP00166,Chennai,Dubai,Air,Machinery,2034.0,3.24,10286,40FT,81.44,Peak,Carrier_C,18,240499
SHP00167,Chennai,Dubai,Sea,Furniture,1790.0,8.01,9786,40FT_HC,106.99,Normal,Carrier_B,21,101082
SHP00168,Delhi,Colombo,Sea,Automotive Parts,2962.0,0.97,8537,40FT,89.26,Off_Peak,Carrier_C,15,61487
SHP00169,Chennai,Jebel Ali,Sea,Textiles,5620.0,5.23,7451,LCL,82.36,Normal,Carrier_D,17,60089
SHP00170,Bengaluru,Dubai,Sea,Automotive Parts,6853.0,16.57,7598,AIR_CARGO,85.25,Off_Peak,Carrier_B,17,65698
SHP00171,Chennai,Jebel Ali,Air,Chemicals,2935.0,9.52,4673,20FT,76.4,Peak,Carrier_B,10,143690
SHP00172,Kolkata,Jebel Ali,Sea,Electronics,912.0,0.5,10171,AIR_CARGO,78.62,Normal,Carrier_E,22,58586
SHP00173,Pune,Los Angeles,Sea,Machinery,1790.0,1.87,7604,20FT,98.7,Normal,Carrier_A,22,77359
SHP00174,Pune,Shanghai,Sea,Automotive Parts,1922.0,7.08,3071,20FT,109.65,Normal,Carrier_B,9,60661
SHP00175,Mumbai,New York,Sea,Furniture,3174.0,4.08,3258,AIR_CARGO,92.94,Peak,Carrier_D,6,57934
SHP00176,Kolkata,Jebel Ali,Sea,Automotive Parts,2593.0,2.99,10408,LCL,100.04,Normal,Carrier_C,24,90599
SHP00177,Delhi,Los Angeles,Air,Automotive Parts,1598.0,4.91,7696,40FT,107.39,Normal,Carrier_D,16,281995
SHP00178,Chennai,London,Sea,Electronics,1108.0,4.19,5085,AIR_CARGO,89.27,Normal,Carrier_E,15,52002
SHP00179,Chennai,Dubai,Road,Textiles,1422.0,2.49,2652,40FT_HC,101.17,Off_Peak,Carrier_B,6,55171
SHP00180,Bengaluru,Hamburg,Sea,Pharmaceuticals,1388.0,9.24,7517,20FT,89.02,Normal,Carrier_A,18,65845
SHP00181,Hyderabad,Jebel Ali,Sea,Automotive Parts,7173.0,20.08,2620,40FT,100.71,Peak,Carrier_A,7,68596
SHP00182,Chennai,Colombo,Sea,Electronics,1516.0,2.21,5907,40FT_HC,83.7,Peak,Carrier_B,18,62415
SHP00183,Ahmedabad,Dubai,Road,Machinery,2600.0,1.03,8291,40FT,114.11,Normal,Carrier_A,17,139168
SHP00184,Kolkata,Dubai,Road,Furniture,4692.0,15.14,7002,LCL,78.05,Normal,Carrier_D,21,79878
SHP00185,Delhi,London,Sea,Chemicals,2838.0,10.86,11104,40FT_HC,95.21,Peak,Carrier_C,23,104912
SHP00186,Pune,Hamburg,Air,Pharmaceuticals,1234.0,2.54,957,AIR_CARGO,86.45,Normal,Carrier_B,5,73060
SHP00187,Mumbai,Los Angeles,Air,Food Products,4743.0,12.4,3718,40FT,99.03,Normal,Carrier_C,12,201957
SHP00188,Chennai,London,Sea,Pharmaceuticals,3147.0,10.3,1156,AIR_CARGO,92.13,Normal,Carrier_A,3,38366
SHP00189,Mumbai,New York,Sea,Furniture,604.0,7.85,2738,AIR_CARGO,87.27,Off_Peak,Carrier_E,9,33405
SHP00190,Chennai,Dubai,Sea,Pharmaceuticals,5618.0,16.93,1926,40FT,85.0,Normal,Carrier_C,5,42011
SHP00191,Delhi,Jebel Ali,Sea,Furniture,4410.0,12.28,8926,40FT,82.3,Peak,Carrier_E,19,75506
SHP00192,Hyderabad,Jebel Ali,Road,Electronics,3115.0,11.14,4748,20FT,106.32,Off_Peak,Carrier_D,11,86892
SHP00193,Kolkata,London,Road,Food Products,7235.0,21.83,11138,20FT,83.89,Normal,Carrier_E,23,117880
SHP00194,Pune,New York,Sea,Automotive Parts,4345.0,11.43,769,40FT_HC,105.94,Normal,Carrier_C,4,48305
SHP00195,Delhi,Singapore,Sea,Automotive Parts,5204.0,16.06,8009,40FT_HC,94.4,Normal,Carrier_C,15,75580
SHP00196,Mumbai,Rotterdam,Sea,Pharmaceuticals,4904.0,8.97,11661,40FT_HC,77.89,Normal,Carrier_B,23,77666
SHP00197,Chennai,Colombo,Air,Electronics,4089.0,13.88,2522,20FT,81.62,Peak,Carrier_E,2,136569
SHP00198,Mumbai,Colombo,Road,Food Products,781.0,0.5,5588,AIR_CARGO,110.72,Normal,Carrier_D,14,100781
SHP00199,Kolkata,Singapore,Road,Automotive Parts,844.0,0.5,8572,LCL,99.11,Peak,Carrier_B,21,122606
SHP00200,Ahmedabad,Dubai,Air,Machinery,4346.0,9.83,7781,LCL,82.37,Normal,Carrier_B,17,214615
SHP00201,Pune,Los Angeles,Sea,Textiles,5567.0,7.89,7009,40FT,103.15,Normal,Carrier_D,12,88876
SHP00202,Delhi,Hamburg,Sea,Textiles,1581.0,1.38,4258,20FT,107.93,Normal,Carrier_B,11,62787
SHP00203,Mumbai,Singapore,Sea,Automotive Parts,1212.0,4.4,8874,40FT,88.23,Normal,Carrier_D,17,69385
SHP00204,Mumbai,New York,Road,Food Products,2965.0,8.17,8012,LCL,97.26,Normal,Carrier_A,17,107024
SHP00205,Kolkata,Jebel Ali,Sea,Chemicals,973.0,4.87,2372,40FT,86.74,Normal,Carrier_B,8,39295
SHP00206,Ahmedabad,Rotterdam,Sea,Automotive Parts,2240.0,7.95,11587,20FT,78.2,Normal,Carrier_C,24,71802
SHP00207,Chennai,Dubai,Sea,Chemicals,1985.0,6.22,6890,20FT,90.98,Normal,Carrier_A,17,61815
SHP00208,Ahmedabad,Rotterdam,Air,Chemicals,2161.0,1.74,6543,20FT,105.06,Normal,Carrier_B,14,237548
SHP00209,Mumbai,Hamburg,Sea,Furniture,8509.0,23.95,10255,LCL,93.35,Peak,Carrier_D,21,109856
SHP00210,Kolkata,Jebel Ali,Sea,Furniture,1656.0,3.5,7865,20FT,91.21,Normal,Carrier_A,18,66421
SHP00211,Chennai,New York,Sea,Food Products,2588.0,7.12,1357,40FT_HC,89.64,Normal,Carrier_A,4,38984
SHP00212,Ahmedabad,Colombo,Air,Chemicals,1065.0,2.95,6326,40FT_HC,93.36,Normal,Carrier_C,12,177613
